Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,ArrDelay,DepDelay,Origin,Dest,delay,Meantemp,Meandewpoint,Meanhumidity,Meansealevelpre,Meanvisibility,Meanwindspeed,Rainfall,Cloudcover,Meantemp_arr,Meandewpoint_arr,Meanhumidity_arr,Meansealevelpre_arr,Meanvisibility_arr,Meanwindspeed_arr,Rainfall_arr,Cloudcover_arr,airport,city,state,country,lat,long,airport_arr,city_arr,state_arr,country_arr,lat_arr,long_arr
2008,11,18,2,1330,1851,US,4.0,-7.0,DEN,PHL,1,14.0,-13.0,24.0,1027.0,,14.0,0.00,2.0,2.0,-13.0,51.0,1022.0,16.0,26.0,T,4.0,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
2008,2,23,6,800,1340,AA,-28.0,-11.0,PSP,ORD,0,13.0,-3.0,47.0,1021.0,16.0,4.0,T,2.0,3.0,-11.0,66.0,1017.0,14.0,8.0,0.00,0.0,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
2008,9,2,2,1424,1620,NW,5.0,11.0,PHL,MSP,1,26.0,10.0,47.0,1020.0,16.0,11.0,0.00,2.0,20.0,9.0,72.0,1021.0,13.0,20.0,0.51,6.0,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
2008,8,19,2,821,1027,UA,3.0,-2.0,SFO,SEA,1,18.0,12.0,78.0,1016.0,16.0,16.0,T,6.0,19.0,11.0,73.0,1012.0,15.0,14.0,12.19,7.0,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.30931310000001
2008,7,5,6,610,945,AA,-8.0,-6.0,SLC,DFW,0,28.0,-1.0,27.0,1009.0,16.0,12.0,0.00,3.0,31.0,15.0,51.0,1015.0,16.0,20.0,0.00,1.0,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
2008,2,26,2,1440,1642,YV,4.0,15.0,CLT,BDL,1,11.0,-3.0,73.0,1010.0,11.0,14.0,13.72,7.0,-1.0,-8.0,80.0,1011.0,7.0,7.0,18.80,7.0,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
2008,7,19,6,914,957,OO,8.0,7.0,EUG,PDX,1,18.0,6.0,60.0,1018.0,16.0,16.0,0.00,2.0,19.0,8.0,60.0,1019.0,16.0,9.0,0.00,4.0,Mahlon Sweet ,Eugene,OR,USA,44.123259999999995,-123.21868559999999,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
2008,8,6,3,2105,2350,WN,-7.0,-6.0,PVD,MCO,0,19.0,15.0,86.0,1015.0,13.0,12.0,13.21,8.0,29.0,18.0,63.0,1019.0,16.0,6.0,0.00,2.0,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
2008,8,20,3,645,736,NW,-14.0,-5.0,DTW,MSP,0,19.0,7.0,63.0,1024.0,16.0,9.0,0.00,3.0,24.0,14.0,68.0,1019.0,15.0,16.0,0.00,2.0,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
2008,7,13,7,1358,1435,DL,,,ATL,STL,0,26.0,19.0,79.0,1016.0,11.0,6.0,53.34,6.0,24.0,10.0,59.0,1016.0,16.0,14.0,0.00,3.0,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
